ADS1115 CONFIG: 0x8488
XU4 Microsecond: 1850208, ADC Sample: 143
XU4 Microsecond: 1858263, ADC Sample: 106
XU4 Microsecond: 1866274, ADC Sample: 219
XU4 Microsecond: 1874294, ADC Sample: 191
XU4 Microsecond: 1882325, ADC Sample: 263
XU4 Microsecond: 1890352, ADC Sample: 315
XU4 Microsecond: 1898376, ADC Sample: 343
XU4 Microsecond: 1906396, ADC Sample: 417
XU4 Microsecond: 1914424, ADC Sample: 396
XU4 Microsecond: 1922451, ADC Sample: 507
XU4 Microsecond: 1930487, ADC Sample: 370
XU4 Microsecond: 1938511, ADC Sample: 583
XU4 Microsecond: 1946532, ADC Sample: 387
XU4 Microsecond: 1954599, ADC Sample: 597
XU4 Microsecond: 1962613, ADC Sample: 355
XU4 Microsecond: 1970594, ADC Sample: 592
XU4 Microsecond: 1978631, ADC Sample: 328
XU4 Microsecond: 1986668, ADC Sample: 567
XU4 Microsecond: 1994693, ADC Sample: 403
XU4 Microsecond: 2002721, ADC Sample: 523
XU4 Microsecond: 2010747, ADC Sample: 345
XU4 Microsecond: 2018772, ADC Sample: 440
XU4 Microsecond: 2026798, ADC Sample: 274
XU4 Microsecond: 2034850, ADC Sample: 332
XU4 Microsecond: 2042856, ADC Sample: 213
XU4 Microsecond: 2050881, ADC Sample: 205
XU4 Microsecond: 2058936, ADC Sample: 119
XU4 Microsecond: 2066947, ADC Sample: 121
XU4 Microsecond: 2074962, ADC Sample: 34
XU4 Microsecond: 2082989, ADC Sample: 7
XU4 Microsecond: 2091013, ADC Sample: -30
XU4 Microsecond: 2099041, ADC Sample: -100
XU4 Microsecond: 2107060, ADC Sample: -110
XU4 Microsecond: 2115087, ADC Sample: -161
XU4 Microsecond: 2123122, ADC Sample: -234
XU4 Microsecond: 2131143, ADC Sample: -235
XU4 Microsecond: 2139193, ADC Sample: -329
XU4 Microsecond: 2147206, ADC Sample: -321
XU4 Microsecond: 2155224, ADC Sample: -460
XU4 Microsecond: 2163303, ADC Sample: -335
XU4 Microsecond: 2171299, ADC Sample: -531
XU4 Microsecond: 2179323, ADC Sample: -378
XU4 Microsecond: 2187348, ADC Sample: -569
XU4 Microsecond: 2195378, ADC Sample: -321
XU4 Microsecond: 2203400, ADC Sample: -590
XU4 Microsecond: 2211428, ADC Sample: -369
XU4 Microsecond: 2219451, ADC Sample: -584
XU4 Microsecond: 2227475, ADC Sample: -361
XU4 Microsecond: 2235503, ADC Sample: -570
XU4 Microsecond: 2243540, ADC Sample: -369
XU4 Microsecond: 2251565, ADC Sample: -525
XU4 Microsecond: 2259593, ADC Sample: -374
XU4 Microsecond: 2267657, ADC Sample: -420
XU4 Microsecond: 2275633, ADC Sample: -320
XU4 Microsecond: 2283652, ADC Sample: -305
XU4 Microsecond: 2291685, ADC Sample: -229
XU4 Microsecond: 2299717, ADC Sample: -258
XU4 Microsecond: 2307741, ADC Sample: -119
XU4 Microsecond: 2315770, ADC Sample: -128
XU4 Microsecond: 2323798, ADC Sample: -39
XU4 Microsecond: 2331825, ADC Sample: -13
XU4 Microsecond: 2339862, ADC Sample: 17
XU4 Microsecond: 2347888, ADC Sample: 93
XU4 Microsecond: 2355913, ADC Sample: 122
XU4 Microsecond: 2363948, ADC Sample: 234
XU4 Microsecond: 2371974, ADC Sample: 229
XU4 Microsecond: 2379979, ADC Sample: 214
XU4 Microsecond: 2388022, ADC Sample: 356
XU4 Microsecond: 2396044, ADC Sample: 277
XU4 Microsecond: 2404059, ADC Sample: 433
XU4 Microsecond: 2412106, ADC Sample: 302
XU4 Microsecond: 2420129, ADC Sample: 521
XU4 Microsecond: 2428156, ADC Sample: 332
XU4 Microsecond: 2436182, ADC Sample: 572
XU4 Microsecond: 2444225, ADC Sample: 382
XU4 Microsecond: 2452241, ADC Sample: 600
XU4 Microsecond: 2460266, ADC Sample: 427
XU4 Microsecond: 2468340, ADC Sample: 554
XU4 Microsecond: 2476306, ADC Sample: 427
XU4 Microsecond: 2484308, ADC Sample: 547
XU4 Microsecond: 2492374, ADC Sample: 394
XU4 Microsecond: 2500411, ADC Sample: 543
XU4 Microsecond: 2508437, ADC Sample: 372
XU4 Microsecond: 2516493, ADC Sample: 398
XU4 Microsecond: 2524497, ADC Sample: 323
XU4 Microsecond: 2532516, ADC Sample: 272
XU4 Microsecond: 2540527, ADC Sample: 240
XU4 Microsecond: 2548570, ADC Sample: 203
XU4 Microsecond: 2556582, ADC Sample: 140
XU4 Microsecond: 2564614, ADC Sample: 109
XU4 Microsecond: 2572855, ADC Sample: 50
XU4 Microsecond: 2580695, ADC Sample: 20
XU4 Microsecond: 2588700, ADC Sample: -11
XU4 Microsecond: 2596724, ADC Sample: -69
XU4 Microsecond: 2604776, ADC Sample: -122
XU4 Microsecond: 2612783, ADC Sample: -153
XU4 Microsecond: 2620807, ADC Sample: -238
XU4 Microsecond: 2628830, ADC Sample: -130
XU4 Microsecond: 2636865, ADC Sample: -351
XU4 Microsecond: 2644897, ADC Sample: -262
XU4 Microsecond: 2652913, ADC Sample: -452
XU4 Microsecond: 2660937, ADC Sample: -323
XU4 Microsecond: 2668969, ADC Sample: -550
XU4 Microsecond: 2677018, ADC Sample: -279
XU4 Microsecond: 2685029, ADC Sample: -580
XU4 Microsecond: 2693042, ADC Sample: -378
XU4 Microsecond: 2701067, ADC Sample: -547
XU4 Microsecond: 2709100, ADC Sample: -420
XU4 Microsecond: 2717131, ADC Sample: -567
XU4 Microsecond: 2725154, ADC Sample: -403
XU4 Microsecond: 2733180, ADC Sample: -519
XU4 Microsecond: 2741211, ADC Sample: -421
XU4 Microsecond: 2749253, ADC Sample: -454
XU4 Microsecond: 2757270, ADC Sample: -391
XU4 Microsecond: 2765296, ADC Sample: -322
XU4 Microsecond: 2773320, ADC Sample: -347
XU4 Microsecond: 2781393, ADC Sample: -257
XU4 Microsecond: 2789394, ADC Sample: -270
XU4 Microsecond: 2797401, ADC Sample: -175
XU4 Microsecond: 2805412, ADC Sample: -169
XU4 Microsecond: 2813443, ADC Sample: -105
XU4 Microsecond: 2821488, ADC Sample: -66
XU4 Microsecond: 2829521, ADC Sample: -31
XU4 Microsecond: 2837531, ADC Sample: 7
XU4 Microsecond: 2845568, ADC Sample: 67
XU4 Microsecond: 2853677, ADC Sample: 108
XU4 Microsecond: 2861632, ADC Sample: 102
XU4 Microsecond: 2869651, ADC Sample: 220
XU4 Microsecond: 2877679, ADC Sample: 155
XU4 Microsecond: 2885761, ADC Sample: 321
XU4 Microsecond: 2893731, ADC Sample: 265
XU4 Microsecond: 2901780, ADC Sample: 417
XU4 Microsecond: 2909788, ADC Sample: 351
XU4 Microsecond: 2917827, ADC Sample: 463
XU4 Microsecond: 2925875, ADC Sample: 403
XU4 Microsecond: 2933864, ADC Sample: 547
XU4 Microsecond: 2941888, ADC Sample: 452
XU4 Microsecond: 2949917, ADC Sample: 544
XU4 Microsecond: 2957961, ADC Sample: 458
XU4 Microsecond: 2965997, ADC Sample: 530
XU4 Microsecond: 2974008, ADC Sample: 465
XU4 Microsecond: 2982035, ADC Sample: 517
XU4 Microsecond: 2990100, ADC Sample: 481
XU4 Microsecond: 2998095, ADC Sample: 466
XU4 Microsecond: 3006117, ADC Sample: 426
XU4 Microsecond: 3014131, ADC Sample: 404
XU4 Microsecond: 3022150, ADC Sample: 373
XU4 Microsecond: 3030193, ADC Sample: 236
XU4 Microsecond: 3038221, ADC Sample: 288
XU4 Microsecond: 3046251, ADC Sample: 197
XU4 Microsecond: 3054276, ADC Sample: 191
XU4 Microsecond: 3062344, ADC Sample: 86
XU4 Microsecond: 3070330, ADC Sample: 71
XU4 Microsecond: 3078363, ADC Sample: 37
XU4 Microsecond: 3086489, ADC Sample: -1
XU4 Microsecond: 3094436, ADC Sample: -48
XU4 Microsecond: 3102446, ADC Sample: -104
XU4 Microsecond: 3110471, ADC Sample: -102
XU4 Microsecond: 3118500, ADC Sample: -216
XU4 Microsecond: 3126528, ADC Sample: -159
XU4 Microsecond: 3134554, ADC Sample: -334
XU4 Microsecond: 3142576, ADC Sample: -290
XU4 Microsecond: 3150597, ADC Sample: -419
XU4 Microsecond: 3158649, ADC Sample: -348
XU4 Microsecond: 3166666, ADC Sample: -513
XU4 Microsecond: 3174683, ADC Sample: -377
XU4 Microsecond: 3182700, ADC Sample: -505
XU4 Microsecond: 3190774, ADC Sample: -428
XU4 Microsecond: 3198766, ADC Sample: -497
XU4 Microsecond: 3206788, ADC Sample: -471
XU4 Microsecond: 3214804, ADC Sample: -475
XU4 Microsecond: 3222850, ADC Sample: -515
XU4 Microsecond: 3230876, ADC Sample: -412
XU4 Microsecond: 3238907, ADC Sample: -506
XU4 Microsecond: 3246925, ADC Sample: -386
XU4 Microsecond: 3254952, ADC Sample: -474
XU4 Microsecond: 3263003, ADC Sample: -356
XU4 Microsecond: 3271004, ADC Sample: -419
XU4 Microsecond: 3279031, ADC Sample: -207
XU4 Microsecond: 3287052, ADC Sample: -323
XU4 Microsecond: 3295110, ADC Sample: -120
XU4 Microsecond: 3303117, ADC Sample: -205
XU4 Microsecond: 3311142, ADC Sample: -110
XU4 Microsecond: 3319168, ADC Sample: -72
XU4 Microsecond: 3327195, ADC Sample: -44
XU4 Microsecond: 3335222, ADC Sample: -7
XU4 Microsecond: 3343250, ADC Sample: 45
XU4 Microsecond: 3351272, ADC Sample: 113
XU4 Microsecond: 3359302, ADC Sample: 131
XU4 Microsecond: 3367351, ADC Sample: 241
XU4 Microsecond: 3375359, ADC Sample: 200
XU4 Microsecond: 3383384, ADC Sample: 310
XU4 Microsecond: 3391409, ADC Sample: 301
XU4 Microsecond: 3399477, ADC Sample: 367
XU4 Microsecond: 3407463, ADC Sample: 349
XU4 Microsecond: 3415489, ADC Sample: 449
XU4 Microsecond: 3423508, ADC Sample: 433
XU4 Microsecond: 3431529, ADC Sample: 396
XU4 Microsecond: 3439558, ADC Sample: 478
XU4 Microsecond: 3447596, ADC Sample: 467
XU4 Microsecond: 3455629, ADC Sample: 545
XU4 Microsecond: 3463658, ADC Sample: 478
XU4 Microsecond: 3471695, ADC Sample: 563
XU4 Microsecond: 3479710, ADC Sample: 391
XU4 Microsecond: 3487738, ADC Sample: 551
XU4 Microsecond: 3495799, ADC Sample: 368
XU4 Microsecond: 3503820, ADC Sample: 504
XU4 Microsecond: 3511810, ADC Sample: 303
XU4 Microsecond: 3519826, ADC Sample: 409
XU4 Microsecond: 3527872, ADC Sample: 253
XU4 Microsecond: 3535893, ADC Sample: 322
XU4 Microsecond: 3543909, ADC Sample: 184
XU4 Microsecond: 3551933, ADC Sample: 214
XU4 Microsecond: 3559975, ADC Sample: 138
XU4 Microsecond: 3568025, ADC Sample: 102
XU4 Microsecond: 3576032, ADC Sample: 53
XU4 Microsecond: 3584073, ADC Sample: 10
XU4 Microsecond: 3592090, ADC Sample: -28
XU4 Microsecond: 3600380, ADC Sample: -108
XU4 Microsecond: 3608164, ADC Sample: -105
XU4 Microsecond: 3616168, ADC Sample: -206
XU4 Microsecond: 3624210, ADC Sample: -152
XU4 Microsecond: 3632191, ADC Sample: -265
