ADS1115 CONFIG: 0x8488
XU4 Microsecond: 3194842, ADC Sample: 412
XU4 Microsecond: 3202871, ADC Sample: 496
XU4 Microsecond: 3210896, ADC Sample: 451
XU4 Microsecond: 3218916, ADC Sample: 510
XU4 Microsecond: 3226951, ADC Sample: 412
XU4 Microsecond: 3234977, ADC Sample: 550
XU4 Microsecond: 3243003, ADC Sample: 426
XU4 Microsecond: 3251031, ADC Sample: 570
XU4 Microsecond: 3259085, ADC Sample: 425
XU4 Microsecond: 3267090, ADC Sample: 575
XU4 Microsecond: 3275119, ADC Sample: 368
XU4 Microsecond: 3283147, ADC Sample: 416
XU4 Microsecond: 3291171, ADC Sample: -330
XU4 Microsecond: 3299201, ADC Sample: -628
XU4 Microsecond: 3307227, ADC Sample: -393
XU4 Microsecond: 3315251, ADC Sample: -646
XU4 Microsecond: 3323303, ADC Sample: -406
XU4 Microsecond: 3331328, ADC Sample: -611
XU4 Microsecond: 3339366, ADC Sample: -418
XU4 Microsecond: 3347368, ADC Sample: -594
XU4 Microsecond: 3355388, ADC Sample: -479
XU4 Microsecond: 3363408, ADC Sample: -556
XU4 Microsecond: 3371439, ADC Sample: -435
XU4 Microsecond: 3379462, ADC Sample: -551
XU4 Microsecond: 3387490, ADC Sample: -484
XU4 Microsecond: 3395520, ADC Sample: -522
XU4 Microsecond: 3403545, ADC Sample: -487
XU4 Microsecond: 3411572, ADC Sample: -528
XU4 Microsecond: 3419599, ADC Sample: -524
XU4 Microsecond: 3427627, ADC Sample: -492
XU4 Microsecond: 3435654, ADC Sample: -519
XU4 Microsecond: 3443682, ADC Sample: -486
XU4 Microsecond: 3451706, ADC Sample: -592
XU4 Microsecond: 3459733, ADC Sample: -380
XU4 Microsecond: 3467760, ADC Sample: -610
XU4 Microsecond: 3475790, ADC Sample: -374
XU4 Microsecond: 3483815, ADC Sample: -615
XU4 Microsecond: 3491842, ADC Sample: -383
XU4 Microsecond: 3499869, ADC Sample: -628
XU4 Microsecond: 3507911, ADC Sample: -349
XU4 Microsecond: 3515927, ADC Sample: -622
XU4 Microsecond: 3523950, ADC Sample: -333
XU4 Microsecond: 3531977, ADC Sample: -621
XU4 Microsecond: 3540005, ADC Sample: 372
XU4 Microsecond: 3548032, ADC Sample: 580
XU4 Microsecond: 3556061, ADC Sample: 413
XU4 Microsecond: 3564086, ADC Sample: 600
XU4 Microsecond: 3572119, ADC Sample: 434
XU4 Microsecond: 3580140, ADC Sample: 558
XU4 Microsecond: 3588167, ADC Sample: 472
XU4 Microsecond: 3596195, ADC Sample: 558
XU4 Microsecond: 3604229, ADC Sample: 445
XU4 Microsecond: 3612246, ADC Sample: 532
XU4 Microsecond: 3620271, ADC Sample: 464
