ADS1115 CONFIG: 0x8488
XU4 Microsecond: 1501789, ADC Sample: -454
XU4 Microsecond: 1509624, ADC Sample: -411
XU4 Microsecond: 1517473, ADC Sample: -371
XU4 Microsecond: 1525327, ADC Sample: -499
XU4 Microsecond: 1533182, ADC Sample: -312
XU4 Microsecond: 1541039, ADC Sample: -591
XU4 Microsecond: 1548896, ADC Sample: -364
XU4 Microsecond: 1556754, ADC Sample: -698
XU4 Microsecond: 1564605, ADC Sample: -484
XU4 Microsecond: 1572461, ADC Sample: -714
XU4 Microsecond: 1580315, ADC Sample: -596
XU4 Microsecond: 1588210, ADC Sample: -770
XU4 Microsecond: 1596039, ADC Sample: -720
XU4 Microsecond: 1603894, ADC Sample: -830
XU4 Microsecond: 1611746, ADC Sample: -796
XU4 Microsecond: 1619601, ADC Sample: -763
XU4 Microsecond: 1627458, ADC Sample: -904
XU4 Microsecond: 1635314, ADC Sample: -704
XU4 Microsecond: 1643169, ADC Sample: -1107
XU4 Microsecond: 1651016, ADC Sample: -713
XU4 Microsecond: 1658872, ADC Sample: -1211
XU4 Microsecond: 1666730, ADC Sample: -777
XU4 Microsecond: 1674582, ADC Sample: -1255
XU4 Microsecond: 1682437, ADC Sample: -735
XU4 Microsecond: 1690293, ADC Sample: -1196
XU4 Microsecond: 1698150, ADC Sample: -735
XU4 Microsecond: 1706004, ADC Sample: -1036
XU4 Microsecond: 1713859, ADC Sample: -817
XU4 Microsecond: 1721746, ADC Sample: -926
XU4 Microsecond: 1729594, ADC Sample: -797
XU4 Microsecond: 1737436, ADC Sample: -795
XU4 Microsecond: 1745292, ADC Sample: -698
XU4 Microsecond: 1753147, ADC Sample: -810
XU4 Microsecond: 1761000, ADC Sample: -688
XU4 Microsecond: 1768858, ADC Sample: -598
XU4 Microsecond: 1776712, ADC Sample: -686
XU4 Microsecond: 1784565, ADC Sample: -535
XU4 Microsecond: 1792414, ADC Sample: -624
XU4 Microsecond: 1800281, ADC Sample: -420
XU4 Microsecond: 1808134, ADC Sample: -555
